category	country	country_short	lang	lang_short	name	region	subject	text	type	url
National	Italy	IT	Italian	it	rivisteweb	European Union	General News	Riviste Web	webnews	https://www.rivisteweb.it/
National	Belgium	BE	Dutch	nl	counter-balance	European Union	General News	Counterbalance-EIB	webnews	http://www.counter-balance.org/
National	Chile	CL	English	en	santiagotimes	South America	General News	The Santiago Times	webnews	http://santiagotimes.cl/
National	Netherlands	NL	English	en	government-nl	European Union	General News	Government of the Netherlands	webnews	https://www.government.nl/
National	Italy	IT	Italian	it	leccoonline	European Union	General News	Lecco Online	webnews	http://www.leccoonline.com/
National	Virgin Islands	VI	English	en	virginislandsdailynews	North America	General News	Virgin Islands daily news	webnews	http://virginislandsdailynews.com/
National	Morocco	MA	Arabic	ar	alwafid	Africa	General News	alwafid	webnews	https://alwafd.news/
National	Croatia	HR	Croatian	hr	1klik	European Union	General News	1klik	webnews	https://1klik.hr/
National	Switzerland	CH	English	en	bluewin-de	Europe Other	General News	Bluewin Home Deutsch	webnews	https://www.bluewin.ch/de/index.html
National	Gabon	GA	French	fr	gabonactu	Africa	General News	Gabon actu	webnews	http://www.gabonactu.com
National	USA	US	English	en	golocalprov	North America	General News	GoLocalProv	webnews	https://www.golocalprov.com/
National	South Africa	ZA	English	en	da-za	Africa	General News	Democratic Alliance	webnews	https://www.da.org.za/
International	Austria	AT	German	de	derStandard	European Union	General News	derStandard Österreich	webnews	https://www.derstandard.at/
National	Kenya	KE	English	en	EastAfrican	Africa	General News	The EastAfrican on the Web	webnews	http://www.theeastafrican.co.ke/
National	Iran	IR	English	en	mehrnews-en	Middle East	General News	Mehr News Agency (English)	webnews	http://en.mehrnews.com/
National	USA	US	English	en	coloradoan	North America	General News	Coloradoan	webnews	http://www.coloradoan.com/
International	USA	US	English	en	mycentraloregon	North America	General News	My Central Oregon	webnews	http://www.mycentraloregon.com/
National	France	FR	French	fr	afrik	European Union	General News	Afrik	webnews	https://www.afrik.com/
Regional	Italy	IT	Italian	it	GazzettaDelSud	European Union	General News	Gazzetta del Sud	webnews	https://gazzettadelsud.it/
National	Sweden	SE	Swedish	sv	arbetsvarlden	European Union	General News	Arbetsvärlden	webnews	https://www.arbetsvarlden.se/
National	Sweden	SE	Swedish	sv	sekotidningen	European Union	General News	Sekotidningen	webnews	http://sekotidningen.se/
Local	Italy	IT	Italian	it	sassuolo2000	European Union	General News	Sassuolo 2000	webnews	http://www.sassuolo2000.it/
National	China	CN	Chinese	zh	chinanews-ln	Asia	General News	chinanews ln - Liaoning	webnews	http://www.ln.chinanews.com/
International	France	FR	English	en	france24-en	European Union	General News	France 24 (english)	webnews	http://www.france24.com/en/
National	Germany	DE	German	de	schleswig-holstein	European Union	General News	Polizei Schleswig-Holstein	webnews	http://www.schleswig-holstein.de/DE/Landesregierung/LPA/lpa_node.html
National	United Kingdom	GB	English	en	nature-gim	Europe Other	General News	Nature - Genetics in Medicine	webnews	https://www.nature.com/gim/
International	Germany	DE	German	de	biotechnologie	European Union	General News	Biotechnologie Beiträge	webnews	http://biotechnologie.de/
National	France	FR	French	fr	rapidesnouvelles	European Union	General News	rapidesnouvelles	webnews	https://rapidesnouvelles.com/
National	Armenia	AM	English	en	civilnet-en	Asia	General News	civilnet - Engllish	webnews	https://www.civilnet.am/news/english-reports
International	Costa Rica	CR	English	en	teletica	Central America	General News	Telenoticias	webnews	http://www.teletica.com/
International	Japan	JP	Japanese	ja	minamishinshu	Asia	General News	Fukushima Mimpo	webnews	http://minamishinshu.jp/
National	Greece	GR	English	en	asylo-en	European Union	General News	asylo	webnews	http://asylo.gov.gr/en/
International	France	FR	French	fr	legrandcontinent-fr	European Union	General News	Accueil - Le Grand Continent	webnews	https://legrandcontinent.eu/fr/
National	Bolivia	BO	Spanish	es	oep	South America	General News	Tribunal Supremo Electoral	webnews	http://www.oep.org.bo/
National	Argentina	AR	Spanish	es	cronista	South America	General News	El Cronista	webnews	http://www.cronista.com/
National	Sweden	SE	English	en	nordregio	European Union	General News	nordregio	webnews	http://www.nordregio.org/
National	Japan	JP	English	en	natureasia-nindia	Asia	General News	natureasia - India	webnews	http://www.natureasia.com/en/nindia/
International	Yemen	YE	Arabic	ar	al-tagheer	Middle East	General News	al-tagheer	webnews	http://www.al-tagheer.com/
National	Sweden	SE	Swedish	sv	malmedel	European Union	General News	Mål & Medel	webnews	http://malmedel.nu/
National	United Kingdom	GB	English	en	undercurrentnews	Europe Other	General News	Undercurrent News	webnews	https://www.undercurrentnews.com/
National	Hungary	HU	Hungarian	hu	oee	European Union	General News	oee	webnews	https://oee.hu/
International	Netherlands	NL	Dutch	nl	bladna	European Union	General News	bladna	webnews	http://www.bladna.nl/
National	Belgium	BE	Dutch	nl	VTM	European Union	General News	Belgian news	webnews	https://vtm.be/
National	Taiwan	TW	English	en	taipeitimes	Asia	General News	taipeitimes  - English news Taiwan	webnews	http://www.taipeitimes.com
International	Benin	BJ	French	fr	lanouvelletribune	Africa	General News	La Nouvelle Tribune	webnews	https://lanouvelletribune.info/
National	France	FR	French	fr	rjdh	European Union	General News	Réseau des journalistes pour les droits de l'homme	webnews	https://rjdh.org/
National	Germany	DE	German	de	trendsderzukunft	European Union	General News	Trends 2020 » Neue & aktuelle Trends der Zukunft online	webnews	https://www.trendsderzukunft.de/
National	United Kingdom	GB	English	en	wired-gov	Europe Other	General News	Government & Public Sector News Alert Service | WiredGov	webnews	https://www.wired-gov.net/wg/home.nsf/nav/home?open&id=BDEX-6ZFKSD
National	Slovakia	SK	Slovak	sk	financnasprava	European Union	General News	HLAVNÝ DENNÍK	webnews	https://www.financnasprava.sk/sk/pre-media/novinky
Local	Italy	IT	Italian	it	milanotoday	European Union	General News	Milano Today	webnews	http://www.milanotoday.it/
National	Cyprus	CY	Modern Greek (1453-)	el	simerini	European Union	General News	Simerini - Cyprus News	webnews	http://www.sigmalive.com/simerini
National	USA	US	English	en	biomimicry	North America	General News	Biomimicry Institute	webnews	https://biomimicry.org/askingnature
National	United Kingdom	GB	English	en	bellingcat	Europe Other	General News	bellingcat - the home of online investigations	webnews	https://www.bellingcat.com/
Local	Romania	RO	Romanian	ro	obiectivdesuceava	European Union	General News	Obiectiv de Suceava	webnews	http://www.obiectivdesuceava.ro/
International	United Kingdom	GB	English	en	odi	Europe Other	General News	migration NGO - ODI	webnews	https://www.odi.org/
National	Syria	SY	French	fr	Sana-fr	Middle East	General News	SANA - Syrian Arab News Agency  (French)	webnews	http://www.sana.sy/fr/
National	Turkey	TR	Turkish	tr	kadikoygazetesi	EU Candidate	General News	Kadıköy Gazetesi	webnews	http://www.kadikoygazetesi.com/
National	United Kingdom	GB	English	en	airecentre	Europe Other	General News	migration NGO - The AIRE Centre	webnews	https://www.airecentre.org
International	USA	US	English	en	un-org	North America	General News	UN	webnews	https://www.un.org/en/index.html
Local	Italy	IT	Italian	it	padovaoggi	European Union	General News	Padova Oggi	webnews	http://www.padovaoggi.it/
National	Italy	IT	Italian	it	espressorepubblica-MicroMega	European Union	General News	MicroMega	webnews	http://temi.repubblica.it/micromega-online/
National	Hungary	HU	Hungarian	hu	kuruc	European Union	General News	Kuruc	webnews	https://kuruc.info/
National	Lithuania	LT	Lithuanian	lt	kurjeris	European Union	General News	kurjeris	webnews	http://www.kurjeris.lt/
National	Bahrain	BH	English	en	bna-en	Middle East	General News	Bahrain News Agency	webnews	https://www.bna.bh/en/
National	Syria	SY	Spanish	es	Sana-es	Middle East	General News	SANA - Syrian Arab News Agency  (Spanish)	webnews	http://www.sana.sy/es/
National	Italy	IT	Italian	it	emplus	European Union	General News	e&m plus	webnews	https://emplus.egeaonline.it/
National	Syria	SY	English	en	Sana-en	Middle East	General News	SANA - Syrian Arab News Agency  (English)	webnews	http://www.sana.sy/en/
International	Yemen	YE	Arabic	ar	alwahdawi	Middle East	General News	Alwahdawi	webnews	http://www.alwahdawi.net/
National	Cyprus	CY	Turkish	tr	halkinsesikibris	European Union	General News	Halkın Sesi	webnews	http://halkinsesikibris.com/
National	Nigeria	NG	English	en	punchng	Africa	General News	The Punch	webnews	http://www.punchng.com/
National	USA	US	English	en	atwonline	North America	General News	Air Transport World	webnews	http://atwonline.com/
International	France	FR	Arabic	ar	france24-ar	European Union	General News	France 24 (arabic)	webnews	http://www.france24.com/ar/
National	Russia	RU	English	en	southfront	Asia	General News	southfront	webnews	https://southfront.org/
National	Romania	RO	Romanian	ro	curierulnational	European Union	General News	Curierul National	webnews	https://curierulnational.ro/
International	USA	US	English	en	actionnewsjax	North America	General News	AccessWDUN	webnews	http://www.actionnewsjax.com/
National	USA	US	English	en	eubioenergy	North America	General News	eu bio Energy	webnews	https://www.eubioenergy.com/
International	Denmark	DK	English	en	diis	European Union	General News	migration NGO3 - diis	webnews	https://www.diis.dk/en
National	Armenia	AM	Armenian	hy	civilnet-am	Asia	General News	civilnet	webnews	https://www.civilnet.am/
National	Turkey	TR	Turkish	tr	birgun	EU Candidate	General News	BirGün	webnews	https://www.birgun.net/
National	Bulgaria	BG	Bulgarian	bg	kanal3	European Union	General News	kanal3	webnews	http://kanal3.bg/
National	Spain	ES	Spanish	es	elmirondesoria	European Union	General News	El Mirón de Soria	webnews	https://elmirondesoria.es/
National	Estonia	EE	Estonian	et	kanal2	European Union	General News	Kanal 2	webnews	https://kanal2.postimees.ee//
National	USA	US	Spanish	es	oas	North America	General News	OEA - Organización de los Estados Americanos	webnews	http://www.oas.org/en/
National	Georgia	GE	Russian	ru	Cabinet-of-Ministers-ru	Asia	General News	Press Department of the Government of Abkhazia	webnews	https://km-ra.org/index.php/ru/
National	Venezuela	VE	Spanish	es	elsiglo	South America	General News	Diario El Siglo	webnews	http://elsiglo.com.ve/
National	Germany	DE	German	de	manager-magazin	European Union	General News	Manager Magazin	webnews	http://www.manager-magazin.de
National	Ireland	IE	English	en	leitrimobserver	European Union	General News	Leitrim Observer	webnews	http://www.leitrimobserver.ie/
International	Poland	PL	Polish	pl	forbes-PL	European Union	General News	Forbes - Polish	webnews	https://www.forbes.pl/
National	Italy	IT	Italian	it	gqitalia	European Union	General News	GQ Italia	webnews	https://www.gqitalia.it/
National	France	FR	English	en	total	European Union	General News	total	webnews	http://www.total.com/en
National	Georgia	GE	Georgian	ka	intermedia	Asia	General News	intermedia	webnews	http://intermedia.ge/?ref=home
Regional	Romania	RO	Romanian	ro	monitorulcj	European Union	General News	Monitorul de Cluj	webnews	http://www.monitorulcj.ro/
